App_Temp,Date,Dew_point,Lat,Location,Longitude,Ozone,Precip_intes,Precipatation_prob,Temp,UV,WindBearing,WindGust,cloudCover,description,humidity,pressure,visibility,windSpeed
24.08,2018-06-24 17:04:21,7.29,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,328.39,0,0,24.08,2,353,7.26,0.41,Partly Cloudy,0.34,1024.61,14.42,6.29
24.17,2018-06-24 17:30:07,7.71,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,328.85,0,0,24.17,2,352,7.5,0.35,Partly Cloudy,0.35,1024.52,16.09,6.71
23.85,2018-06-24 18:00:08,7.83,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,329.38,0,0,23.85,1,81,8.87,0.29,Partly Cloudy,0.36,1024.42,14.13,5.89
23.63,2018-06-24 18:30:07,8.21,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,329.83,0,0,23.63,1,64,8.51,0.28,Partly Cloudy,0.37,1024.42,16.09,4.96
23.82,2018-06-24 19:00:08,7.24,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,316.39,0,0,23.82,1,16,8,0.27,Partly Cloudy,0.35,1024.28,16.09,7.56
22.95,2018-06-24 19:30:08,7.47,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,316.61,0,0,22.95,0,11,7.81,0.27,Partly Cloudy,0.37,1024.35,16.09,7.29
22.47,2018-06-24 20:00:07,7.72,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,316.82,0,0,22.47,0,35,8.01,0.27,Partly Cloudy,0.39,1024.42,16.09,6.55
21.37,2018-06-24 20:30:07,7.94,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,317.03,0,0,21.37,0,25,7.5,0.27,Partly Cloudy,0.42,1024.58,16.09,5.81
20.55,2018-06-24 21:00:12,7.72,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,317.24,0,0,20.55,0,51,7,0.27,Partly Cloudy,0.44,1024.74,16.09,3.72
19.42,2018-06-24 21:30:12,7.87,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,317.35,0,0,19.42,0,30,7.35,0.27,Partly Cloudy,0.47,1024.94,16.09,3.43
19.04,2018-06-24 22:00:12,7.58,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,317.47,0,0,19.04,0,65,7.71,0.26,Partly Cloudy,0.47,1025.13,16.09,2.78
18.07,2018-06-24 22:30:12,7.58,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,317.56,0,0,18.07,0,33,7.79,0.22,Clear,0.5,1025.24,16.09,2.62
17.17,2018-06-24 23:00:12,7.53,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,317.66,0,0,17.17,0,4,7.84,0.19,Clear,0.53,1025.35,16.09,2.98
