App_Temp,Date,Dew_point,Lat,Location,Longitude,Ozone,Precip_intes,Precipatation_prob,Temp,UV,WindBearing,WindGust,cloudCover,description,humidity,pressure,visibility,windSpeed
65.71,2018-06-23 11:03:48,47.59,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,317.29,0,0,65.71,6,204,7.27,0.35,Partly Cloudy,0.52,1029.94,8.71,5.35
65.85,2018-06-23 11:16:07,48.07,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,317.2,0,0,65.85,6,210,7.22,0.38,Partly Cloudy,0.53,1029.89,9.25,5.21
66.01,2018-06-23 11:30:07,48.62,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,317.1,0,0,66.01,6,217,7.18,0.41,Partly Cloudy,0.53,1029.83,9.86,5.12
67.77,2018-06-23 12:00:10,46.25,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,322.3,0,0,67.77,6,227,5.8,0.47,Partly Cloudy,0.46,1029.64,9.91,4.69
68.02,2018-06-23 12:30:07,47.65,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,322.42,0,0,68.02,6,222,6.12,0.52,Partly Cloudy,0.48,1029.41,10,5.24
67.87,2018-06-23 13:00:09,50,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,322.55,0,0,67.87,6,223,8.6,0.47,Partly Cloudy,0.53,1029.12,8.55,8.34
68.28,2018-06-23 13:30:07,50.5,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,322.65,0,0,68.28,5,246,8.49,0.5,Partly Cloudy,0.53,1028.92,9.86,6.49
68.02,2018-06-23 14:00:09,49.88,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,322.75,0,0,68.02,5,296,9.73,0.44,Partly Cloudy,0.52,1028.71,8.55,8.63
68.31,2018-06-23 14:30:08,50.42,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,322.9,0,0,68.31,4,286,9.33,0.56,Partly Cloudy,0.53,1028.43,9.86,8.32
68.46,2018-06-23 15:00:10,50.08,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,323.05,0,0,68.46,3,250,10.17,0.6,Mostly Cloudy,0.52,1028.16,8.55,10.17
67.71,2018-06-23 15:30:08,50.57,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,323.3,0,0,67.71,2,252,9.69,0.61,Mostly Cloudy,0.54,1027.99,9.86,9.55
67.21,2018-06-23 16:00:09,50.62,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,323.56,0,0,67.21,2,250,9.79,0.54,Partly Cloudy,0.55,1027.84,8.55,9.04
66.9,2018-06-23 16:30:08,51.15,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,323.79,0,0,66.9,1,263,9.36,0.54,Partly Cloudy,0.57,1027.6,9.86,8.03
65.84,2018-06-23 17:00:11,51.12,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,324.02,0,0,65.84,1,279,9.47,0.44,Partly Cloudy,0.59,1027.38,8.55,8.42
65.82,2018-06-23 17:30:10,51.43,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,324.17,0,0,65.82,1,282,9.36,0.55,Partly Cloudy,0.6,1027.35,9.86,7.75
66.77,2018-06-23 18:00:10,52.16,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,315.53,0,0,66.77,1,300,9.23,0.83,Mostly Cloudy,0.59,1027.25,10,6.61
65.85,2018-06-23 18:30:08,51.73,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,315.59,0,0,65.85,0,304,9.22,0.82,Mostly Cloudy,0.6,1027.19,10,6.24
64.42,2018-06-23 19:00:08,49.61,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,315.65,0,0,64.42,0,269,9.31,0.85,Mostly Cloudy,0.59,1027.06,8.55,7.25
63.3,2018-06-23 19:30:08,49.42,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,315.63,0,0,63.3,0,278,9.18,0.84,Mostly Cloudy,0.61,1027.05,9.87,6.19
61.48,2018-06-23 20:00:09,49.6,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,315.62,0,0,61.48,0,295,9.06,0.84,Mostly Cloudy,0.65,1027.05,8.54,4.82
60.54,2018-06-23 20:30:08,49.13,51.6211442,"Swansea, West Glamorgan, Wales, SA1 3ES, UK",-3.9467751,315.54,0,0,60.54,0,306,8.94,0.8,Mostly Cloudy,0.66,1027.01,9.86,4.49
