App_Temp,Date,Dew_point,Lat,Location,Longitude,Ozone,Precip_intes,Precipatation_prob,Temp,UV,WindBearing,WindGust,cloudCover,description,humidity,pressure,visibility,windSpeed
65.11,2018-06-23 11:03:47,47.13,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,324.78,0,0,65.11,4,315,11.17,0.96,Overcast,0.52,1029.17,10,10.32
65.58,2018-06-23 11:16:07,47.42,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,324.51,0,0,65.58,4,314,11.03,0.96,Overcast,0.52,1029.12,10,10.16
66.12,2018-06-23 11:30:07,47.75,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,324.2,0,0,66.12,4,313,10.87,0.96,Overcast,0.52,1029.05,10,9.97
66.81,2018-06-23 12:00:07,47.15,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,327.43,0,0,66.81,4,311,10.76,0.85,Mostly Cloudy,0.49,1028.87,8.78,9.17
68.11,2018-06-23 12:30:06,47.71,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,327.15,0,0,68.11,4,311,10.48,0.86,Mostly Cloudy,0.48,1028.6,10,8.98
68.9,2018-06-23 13:00:07,48.07,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,326.88,0,0,68.9,5,316,10.21,0.58,Partly Cloudy,0.47,1028.32,8.78,8.18
69.96,2018-06-23 13:30:06,48.32,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,326.6,0,0,69.96,4,316,9.96,0.65,Mostly Cloudy,0.46,1028.12,10,8.09
70.26,2018-06-23 14:00:07,48.35,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,326.33,0,0,70.26,4,317,9.71,0.49,Partly Cloudy,0.46,1027.92,8.78,9.25
70.86,2018-06-23 14:30:07,48.5,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,326.1,0,0,70.86,3,319,9.53,0.62,Mostly Cloudy,0.45,1027.61,10,8.96
70.31,2018-06-23 15:00:07,47.65,52.4492074,"Halesowen, West Midlands Combined Authority, West Midlands, England, B63 4AE, UK",-2.0514646,325.88,0,0,70.31,3,336,9.73,0.6,Mostly Cloudy,0.44,1027.3,10,9.73
